t	x	u
2.900000	0.200000	0.667206
2.900000	0.300000	0.974274
2.900000	0.400000	1.282085
2.900000	0.500000	1.590718
2.900000	0.600000	1.900259
2.900000	0.700000	2.210803
2.900000	0.800000	2.522456
2.900000	0.900000	2.835335
2.900000	1.000000	3.149569
2.900000	1.100000	3.465299
2.900000	1.200000	3.782684
3.000000	0.000000	0.049787
3.000000	0.100000	0.365023
3.000000	0.200000	0.680810
3.000000	0.300000	0.997206
3.000000	0.400000	1.314274
3.000000	0.500000	1.632085
3.000000	0.600000	1.950718
3.000000	0.700000	2.270259
3.000000	0.800000	2.590803
3.000000	0.900000	2.912456
3.000000	1.000000	3.235335
3.000000	1.100000	3.559569
3.000000	1.200000	3.885299
3.100000	0.000000	0.045049
3.100000	0.100000	0.369787
3.100000	0.200000	0.695023
3.100000	0.300000	1.020810
3.100000	0.400000	1.347206
3.100000	0.500000	1.674274
3.100000	0.600000	2.002085
3.100000	0.700000	2.330718
3.100000	0.800000	2.660259
3.100000	0.900000	2.990803
3.100000	1.000000	3.322456
3.100000	1.100000	3.655335
3.100000	1.200000	3.989569
3.200000	0.000000	0.040762
3.200000	0.100000	0.375049
3.200000	0.200000	0.709787
3.200000	0.300000	1.045023
3.200000	0.400000	1.380810
3.200000	0.500000	1.717206
3.200000	0.600000	2.054274
3.200000	0.700000	2.392085
3.200000	0.800000	2.730718
3.200000	0.900000	3.070259
3.200000	1.000000	3.410803
3.200000	1.100000	3.752456
3.200000	1.200000	4.095335
3.300000	0.000000	0.036883
3.300000	0.100000	0.380762
3.300000	0.200000	0.725049
3.300000	0.300000	1.069787
3.300000	0.400000	1.415023
3.300000	0.500000	1.760810
3.300000	0.600000	2.107206
3.300000	0.700000	2.454274
3.300000	0.800000	2.802085
3.300000	0.900000	3.150718
3.300000	1.000000	3.500259
3.300000	1.100000	3.850803
3.300000	1.200000	4.202456
3.400000	0.000000	0.033373
3.400000	0.100000	0.386883
3.400000	0.200000	0.740762
3.400000	0.300000	1.095049
3.400000	0.400000	1.449787
3.400000	0.500000	1.805023
3.400000	0.600000	2.160810
3.400000	0.700000	2.517206
3.400000	0.800000	2.874274
3.400000	0.900000	3.232085
3.400000	1.000000	3.590718
3.400000	1.100000	3.950259
3.400000	1.200000	4.310803
3.500000	0.000000	0.030197
3.500000	0.100000	0.393373
